"","county","cbsa","region","state","zip","year","Bedrooms","Rent"
"61","Chelan County","48300","Wenatchee-East Wenatchee","WA",98801,2012,"Studio",540
"62","Chelan County","48300","Wenatchee-East Wenatchee","WA",98801,2012,"One Bedroom",570
"63","Chelan County","48300","Wenatchee-East Wenatchee","WA",98801,2012,"Two Bedrooms",720
"64","Chelan County","48300","Wenatchee-East Wenatchee","WA",98801,2012,"Three Bedrooms",970
"65","Chelan County","48300","Wenatchee-East Wenatchee","WA",98801,2012,"Four Bedrooms",1120
"66","Chelan County","48300","Wenatchee-East Wenatchee","WA",98811,2012,"Studio",530
"67","Chelan County","48300","Wenatchee-East Wenatchee","WA",98811,2012,"One Bedroom",560
"68","Chelan County","48300","Wenatchee-East Wenatchee","WA",98811,2012,"Two Bedrooms",710
"69","Chelan County","48300","Wenatchee-East Wenatchee","WA",98811,2012,"Three Bedrooms",960
"70","Chelan County","48300","Wenatchee-East Wenatchee","WA",98811,2012,"Four Bedrooms",1100
"71","Chelan County","48300","Wenatchee-East Wenatchee","WA",98815,2012,"Studio",530
"72","Chelan County","48300","Wenatchee-East Wenatchee","WA",98815,2012,"One Bedroom",560
"73","Chelan County","48300","Wenatchee-East Wenatchee","WA",98815,2012,"Two Bedrooms",710
"74","Chelan County","48300","Wenatchee-East Wenatchee","WA",98815,2012,"Three Bedrooms",960
"75","Chelan County","48300","Wenatchee-East Wenatchee","WA",98815,2012,"Four Bedrooms",1100
"76","Chelan County","48300","Wenatchee-East Wenatchee","WA",98816,2012,"Studio",490
"77","Chelan County","48300","Wenatchee-East Wenatchee","WA",98816,2012,"One Bedroom",520
"78","Chelan County","48300","Wenatchee-East Wenatchee","WA",98816,2012,"Two Bedrooms",660
"79","Chelan County","48300","Wenatchee-East Wenatchee","WA",98816,2012,"Three Bedrooms",890
"80","Chelan County","48300","Wenatchee-East Wenatchee","WA",98816,2012,"Four Bedrooms",1020
"81","Chelan County","48300","Wenatchee-East Wenatchee","WA",98817,2012,"Studio",530
"82","Chelan County","48300","Wenatchee-East Wenatchee","WA",98817,2012,"One Bedroom",560
"83","Chelan County","48300","Wenatchee-East Wenatchee","WA",98817,2012,"Two Bedrooms",710
"84","Chelan County","48300","Wenatchee-East Wenatchee","WA",98817,2012,"Three Bedrooms",960
"85","Chelan County","48300","Wenatchee-East Wenatchee","WA",98817,2012,"Four Bedrooms",1100
"86","Chelan County","48300","Wenatchee-East Wenatchee","WA",98821,2012,"Studio",530
"87","Chelan County","48300","Wenatchee-East Wenatchee","WA",98821,2012,"One Bedroom",560
"88","Chelan County","48300","Wenatchee-East Wenatchee","WA",98821,2012,"Two Bedrooms",710
"89","Chelan County","48300","Wenatchee-East Wenatchee","WA",98821,2012,"Three Bedrooms",960
"90","Chelan County","48300","Wenatchee-East Wenatchee","WA",98821,2012,"Four Bedrooms",1100
"91","Chelan County","48300","Wenatchee-East Wenatchee","WA",98822,2012,"Studio",460
"92","Chelan County","48300","Wenatchee-East Wenatchee","WA",98822,2012,"One Bedroom",480
"93","Chelan County","48300","Wenatchee-East Wenatchee","WA",98822,2012,"Two Bedrooms",610
"94","Chelan County","48300","Wenatchee-East Wenatchee","WA",98822,2012,"Three Bedrooms",820
"95","Chelan County","48300","Wenatchee-East Wenatchee","WA",98822,2012,"Four Bedrooms",950
"96","Chelan County","48300","Wenatchee-East Wenatchee","WA",98826,2012,"Studio",610
"97","Chelan County","48300","Wenatchee-East Wenatchee","WA",98826,2012,"One Bedroom",650
"98","Chelan County","48300","Wenatchee-East Wenatchee","WA",98826,2012,"Two Bedrooms",820
"99","Chelan County","48300","Wenatchee-East Wenatchee","WA",98826,2012,"Three Bedrooms",1110
"100","Chelan County","48300","Wenatchee-East Wenatchee","WA",98826,2012,"Four Bedrooms",1270
"101","Chelan County","48300","Wenatchee-East Wenatchee","WA",98828,2012,"Studio",520
"102","Chelan County","48300","Wenatchee-East Wenatchee","WA",98828,2012,"One Bedroom",550
"103","Chelan County","48300","Wenatchee-East Wenatchee","WA",98828,2012,"Two Bedrooms",700
"104","Chelan County","48300","Wenatchee-East Wenatchee","WA",98828,2012,"Three Bedrooms",940
